customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,segment
CUST001059,7,6,35841.45,5,5,5,555,Champions
CUST001060,207,6,39710.22,3,5,5,355,Loyal Customers
CUST001061,124,6,34000.0,4,5,5,455,Champions
CUST001062,53,7,42467.97,5,5,5,555,Champions
CUST001063,12,11,66245.02,5,5,5,555,Champions
CUST001064,35,6,40061.33,5,5,5,555,Champions
CUST001065,24,12,67830.75,5,5,5,555,Champions
CUST001066,15,12,86484.15,5,5,5,555,Champions
CUST001067,52,8,51324.84,5,5,5,555,Champions
CUST001068,12,8,67661.16,5,5,5,555,Champions
CUST001069,181,10,66632.45999999999,4,5,5,455,Champions
CUST001070,59,6,42076.380000000005,5,5,5,555,Champions
CUST001071,99,10,72251.0,5,5,5,555,Champions
CUST001072,28,10,67096.66,5,5,5,555,Champions
CUST001073,121,11,72814.04000000001,4,5,5,455,Champions
CUST001074,100,9,56431.55,5,5,5,555,Champions
CUST001075,19,12,72909.03,5,5,5,555,Champions
CUST001076,22,9,66411.92,5,5,5,555,Champions
CUST001077,65,9,60161.520000000004,5,5,5,555,Champions
CUST001078,90,10,66067.99,5,5,5,555,Champions
CUST001079,40,10,70470.83,5,5,5,555,Champions
CUST001080,352,9,61533.96,2,5,5,255,About to Sleep
CUST001081,44,11,61394.130000000005,5,5,5,555,Champions
CUST001082,30,8,47652.68,5,5,5,555,Champions
CUST001083,192,10,62730.69,4,5,5,455,Champions
CUST001084,51,11,67802.15,5,5,5,555,Champions
CUST001085,197,12,81347.47,4,5,5,455,Champions
CUST001086,33,10,60890.07,5,5,5,555,Champions
CUST001087,60,10,63084.09,5,5,5,555,Champions
CUST001088,49,12,76927.11,5,5,5,555,Champions
CUST001089,119,11,74302.14,4,5,5,455,Champions
CUST001090,35,8,51077.36,5,5,5,555,Champions
CUST001091,40,6,45899.91,5,5,5,555,Champions
CUST001092,120,6,44184.44,4,5,5,455,Champions
CUST001093,54,7,40571.92,5,5,5,555,Champions
CUST001094,8,6,44110.979999999996,5,5,5,555,Champions
CUST001095,44,9,61000.0,5,5,5,555,Champions
CUST001096,35,10,66559.61,5,5,5,555,Champions
CUST001097,43,7,38741.380000000005,5,5,5,555,Champions
CUST001098,87,11,71974.31,5,5,5,555,Champions
CUST001099,24,10,58067.19,5,5,5,555,Champions
CUST001100,14,11,87298.24,5,5,5,555,Champions
CUST001101,142,9,54422.16,4,5,5,455,Champions
CUST001102,71,12,73922.83,5,5,5,555,Champions
CUST001103,39,11,72348.67,5,5,5,555,Champions
CUST001104,257,6,30000.0,3,5,5,355,Loyal Customers
CUST001105,240,12,92000.0,3,5,5,355,Loyal Customers
CUST001106,141,6,50000.0,4,5,5,455,Champions
CUST001107,68,10,70838.56,5,5,5,555,Champions
CUST001108,70,6,38718.14,5,5,5,555,Champions
CUST001109,54,11,67000.0,5,5,5,555,Champions
CUST001110,27,11,69856.34,5,5,5,555,Champions
CUST001111,154,12,72326.51,4,5,5,455,Champions
CUST001112,57,10,62559.82,5,5,5,555,Champions
CUST001113,202,9,59041.880000000005,4,5,5,455,Champions
CUST001114,34,7,44182.1,5,5,5,555,Champions
CUST001115,80,12,88827.32,5,5,5,555,Champions
CUST001116,16,10,63344.72,5,5,5,555,Champions
CUST001117,13,9,61614.54,5,5,5,555,Champions
CUST001118,34,6,54000.0,5,5,5,555,Champions
CUST001119,10,8,52000.0,5,5,5,555,Champions
CUST001120,194,7,49419.2,4,5,5,455,Champions
CUST001121,105,9,56176.38,4,5,5,455,Champions
CUST001122,17,8,49052.57,5,5,5,555,Champions
CUST001123,105,10,64366.61,4,5,5,455,Champions
CUST001124,23,11,65497.67,5,5,5,555,Champions
CUST001125,58,7,40867.68,5,5,5,555,Champions
CUST001126,48,7,41275.96,5,5,5,555,Champions
CUST001127,50,12,83187.05,5,5,5,555,Champions
CUST001128,63,11,74389.11,5,5,5,555,Champions
CUST001129,87,7,45859.7,5,5,5,555,Champions
CUST001130,83,9,68393.42,5,5,5,555,Champions
CUST001131,181,6,38000.0,4,5,5,455,Champions
CUST001132,69,7,47647.24,5,5,5,555,Champions
CUST001133,91,10,75714.29000000001,5,5,5,555,Champions
CUST001134,17,9,58263.16,5,5,5,555,Champions
CUST001135,53,10,62857.95,5,5,5,555,Champions
CUST001136,19,11,68503.9,5,5,5,555,Champions
CUST001137,42,10,66606.98,5,5,5,555,Champions
CUST001138,45,6,34000.0,5,5,5,555,Champions
CUST001139,10,11,81781.18,5,5,5,555,Champions
CUST001140,136,6,30871.45,4,5,5,455,Champions
CUST001141,152,6,42574.65,4,5,5,455,Champions
CUST001142,47,6,35827.32,5,5,5,555,Champions
CUST001143,96,10,60618.770000000004,5,5,5,555,Champions
CUST001144,64,8,51940.75,5,5,5,555,Champions
CUST001145,35,12,75609.52,5,5,5,555,Champions
CUST001146,129,10,64157.43,4,5,5,455,Champions
CUST001147,16,12,80000.0,5,5,5,555,Champions
CUST001148,91,11,78155.88,5,5,5,555,Champions
CUST001149,75,11,74514.42,5,5,5,555,Champions
CUST001150,19,6,34368.99,5,5,5,555,Champions
CUST001151,1,12,80584.54000000001,5,5,5,555,Champions
CUST001152,95,7,39000.0,5,5,5,555,Champions
CUST001153,111,7,45571.880000000005,4,5,5,455,Champions
CUST001154,284,9,64660.53,3,5,5,355,Loyal Customers
CUST001155,39,7,49626.82,5,5,5,555,Champions
CUST001156,78,12,74866.71,5,5,5,555,Champions
CUST001157,27,11,73711.09,5,5,5,555,Champions
CUST001158,48,7,43728.0,5,5,5,555,Champions
CUST001159,73,8,51246.74,5,5,5,555,Champions
CUST001160,56,8,52000.0,5,5,5,555,Champions
CUST001161,57,9,65738.01,5,5,5,555,Champions
CUST001162,89,8,48923.91,5,5,5,555,Champions
CUST001163,59,12,65458.84,5,5,5,555,Champions
CUST001164,49,12,69072.25,5,5,5,555,Champions
CUST001165,7,6,36679.75,5,5,5,555,Champions
CUST001166,64,6,35507.18,5,5,5,555,Champions
CUST001167,82,7,39512.65,5,5,5,555,Champions
CUST001168,31,11,65924.52,5,5,5,555,Champions
CUST001169,134,11,77355.26,4,5,5,455,Champions
CUST001170,131,11,67000.0,4,5,5,455,Champions
CUST001171,69,6,45269.99,5,5,5,555,Champions
CUST001172,46,11,65789.4,5,5,5,555,Champions
CUST001173,19,8,49983.21,5,5,5,555,Champions
CUST001174,56,11,76317.15,5,5,5,555,Champions
CUST001175,92,11,75674.6,5,5,5,555,Champions
CUST001176,78,11,70066.5,5,5,5,555,Champions
CUST001177,64,11,71488.56,5,5,5,555,Champions
CUST001178,38,9,67200.69,5,5,5,555,Champions
CUST001179,75,12,84119.41,5,5,5,555,Champions
CUST001180,28,8,49887.93,5,5,5,555,Champions
CUST001181,30,6,42000.0,5,5,5,555,Champions
CUST001182,149,12,84837.18,4,5,5,455,Champions
CUST001183,24,7,42654.55,5,5,5,555,Champions
CUST001184,37,6,40297.85,5,5,5,555,Champions
CUST001185,168,10,71361.97,4,5,5,455,Champions
CUST001186,100,9,57488.22,5,5,5,555,Champions
CUST001187,96,10,62052.05,5,5,5,555,Champions
CUST001188,66,11,65968.09,5,5,5,555,Champions
CUST001189,55,12,88693.7,5,5,5,555,Champions
CUST001190,109,8,60000.0,4,5,5,455,Champions
CUST001191,125,8,55902.54,4,5,5,455,Champions
CUST001192,104,8,60000.0,5,5,5,555,Champions
CUST001193,124,7,45719.54,4,5,5,455,Champions
CUST001194,90,9,60292.15,5,5,5,555,Champions
CUST001195,80,6,41447.520000000004,5,5,5,555,Champions
CUST001196,308,8,58538.66,3,5,5,355,Loyal Customers
CUST001197,55,11,80198.65,5,5,5,555,Champions
CUST001198,101,10,73598.70999999999,5,5,5,555,Champions
CUST001199,45,9,57424.21,5,5,5,555,Champions
CUST001200,56,11,83509.64,5,5,5,555,Champions
CUST001201,38,6,37853.31,5,5,5,555,Champions
CUST001202,14,12,83875.08,5,5,5,555,Champions
CUST001203,98,12,73808.0,5,5,5,555,Champions
CUST001204,199,12,80217.56,4,5,5,455,Champions
CUST001205,11,10,64022.770000000004,5,5,5,555,Champions
CUST001206,29,6,44633.81,5,5,5,555,Champions
CUST001207,23,6,39387.96,5,5,5,555,Champions
CUST001208,87,9,60980.63,5,5,5,555,Champions
CUST001209,182,7,41040.979999999996,4,5,5,455,Champions
CUST001210,51,11,75445.93000000001,5,5,5,555,Champions
CUST001211,138,11,62285.29,4,5,5,455,Champions
CUST001212,145,8,46424.07,4,5,5,455,Champions
CUST001213,162,10,68093.06,4,5,5,455,Champions
CUST001214,33,12,82969.41,5,5,5,555,Champions
CUST001215,32,9,64481.78,5,5,5,555,Champions
CUST001216,38,9,62685.13,5,5,5,555,Champions
CUST001217,66,7,51000.0,5,5,5,555,Champions
CUST001218,19,9,62115.44,5,5,5,555,Champions
CUST001219,92,6,42069.46,5,5,5,555,Champions
CUST001220,134,8,46954.11,4,5,5,455,Champions
CUST001221,122,10,70796.42,4,5,5,455,Champions
CUST001222,91,11,57513.42,5,5,5,555,Champions
CUST001223,38,12,69241.47,5,5,5,555,Champions
CUST001224,76,11,73101.86,5,5,5,555,Champions
CUST001225,32,12,76218.68,5,5,5,555,Champions
CUST001226,83,11,74590.8,5,5,5,555,Champions
CUST001227,104,11,65102.0,5,5,5,555,Champions
CUST001228,41,8,56158.71,5,5,5,555,Champions
CUST001229,34,7,39970.21,5,5,5,555,Champions
CUST001230,95,11,76086.76,5,5,5,555,Champions
CUST001231,26,12,84257.66,5,5,5,555,Champions
CUST001232,183,11,82252.31,4,5,5,455,Champions
CUST001233,43,9,53000.0,5,5,5,555,Champions
CUST001234,26,12,73772.07,5,5,5,555,Champions
CUST001235,143,9,63820.28,4,5,5,455,Champions
CUST001236,27,10,76288.75,5,5,5,555,Champions
CUST001237,243,6,34916.26,3,5,5,355,Loyal Customers
CUST001238,277,9,49184.84,3,5,5,355,Loyal Customers
CUST001239,54,9,55601.39,5,5,5,555,Champions
CUST001240,20,8,61725.44,5,5,5,555,Champions
CUST001241,168,9,64069.04,4,5,5,455,Champions
CUST001242,81,8,48126.58,5,5,5,555,Champions
CUST001243,7,10,68253.65,5,5,5,555,Champions
CUST001244,16,6,42000.0,5,5,5,555,Champions
CUST001245,25,6,33855.67,5,5,5,555,Champions
CUST001246,81,10,67561.93,5,5,5,555,Champions
CUST001247,13,9,59880.47,5,5,5,555,Champions
CUST001248,195,6,36796.68,4,5,5,455,Champions
CUST001249,33,6,43566.729999999996,5,5,5,555,Champions
CUST001250,49,10,58529.119999999995,5,5,5,555,Champions
CUST001251,21,12,79923.98,5,5,5,555,Champions
CUST001252,95,7,35860.64,5,5,5,555,Champions
CUST001253,17,6,38000.0,5,5,5,555,Champions
CUST001254,87,10,72400.12,5,5,5,555,Champions
CUST001255,43,9,61998.11,5,5,5,555,Champions
CUST001256,31,8,51604.58,5,5,5,555,Champions
CUST001257,34,12,81758.3,5,5,5,555,Champions
CUST001258,115,11,75201.44,4,5,5,455,Champions
CUST001259,139,10,68512.09,4,5,5,455,Champions
CUST001260,23,11,83458.49,5,5,5,555,Champions
CUST001261,21,11,68962.11,5,5,5,555,Champions
CUST001262,21,7,37149.58,5,5,5,555,Champions
CUST001263,115,8,48100.94,4,5,5,455,Champions
CUST001264,51,8,54448.85,5,5,5,555,Champions
CUST001265,55,7,52358.16,5,5,5,555,Champions
CUST001266,40,9,64144.97,5,5,5,555,Champions
CUST001267,33,10,63535.69,5,5,5,555,Champions
CUST001268,49,12,74561.75,5,5,5,555,Champions
CUST001269,49,10,79800.44,5,5,5,555,Champions
CUST001270,14,10,69893.63,5,5,5,555,Champions
CUST001271,97,6,36358.36,5,5,5,555,Champions
CUST001272,59,12,77735.82,5,5,5,555,Champions
CUST001273,96,9,58366.57,5,5,5,555,Champions
CUST001274,23,12,73161.62,5,5,5,555,Champions
CUST001275,93,10,68696.84,5,5,5,555,Champions
CUST001276,99,6,42143.33,5,5,5,555,Champions
CUST001277,34,7,35000.0,5,5,5,555,Champions
CUST001278,35,9,54564.270000000004,5,5,5,555,Champions
CUST001279,311,7,45730.25,3,5,5,355,Loyal Customers
CUST001280,15,12,71944.94,5,5,5,555,Champions
CUST001281,99,11,78125.13,5,5,5,555,Champions
CUST001282,1,10,60294.89,5,5,5,555,Champions
CUST001283,223,9,53000.0,3,5,5,355,Loyal Customers
CUST001284,72,11,76819.06,5,5,5,555,Champions
CUST001285,43,10,70000.0,5,5,5,555,Champions
CUST001286,16,11,76168.62,5,5,5,555,Champions
CUST001287,49,8,48147.55,5,5,5,555,Champions
CUST001288,32,6,42854.1,5,5,5,555,Champions
CUST001289,115,9,50616.72,4,5,5,455,Champions
CUST001290,36,11,71907.16,5,5,5,555,Champions
CUST001291,92,6,41270.15,5,5,5,555,Champions
CUST001292,29,6,38000.0,5,5,5,555,Champions
CUST001293,166,8,57501.21,4,5,5,455,Champions
CUST001294,36,9,59212.5,5,5,5,555,Champions
CUST001295,109,9,62333.76,4,5,5,455,Champions
CUST001296,87,9,54786.59,5,5,5,555,Champions
CUST001297,82,8,54520.0,5,5,5,555,Champions
CUST001298,15,11,74388.26,5,5,5,555,Champions
CUST001299,67,9,65305.09,5,5,5,555,Champions
CUST001300,57,11,84019.81,5,5,5,555,Champions
CUST001301,93,7,42207.66,5,5,5,555,Champions
CUST001302,11,6,36218.69,5,5,5,555,Champions
CUST001303,44,7,39937.0,5,5,5,555,Champions
CUST001304,23,10,66116.83,5,5,5,555,Champions
CUST001305,46,6,31730.27,5,5,5,555,Champions
CUST001306,42,6,42000.0,5,5,5,555,Champions
CUST001307,90,9,53000.0,5,5,5,555,Champions
CUST001308,109,11,58333.62,4,5,5,455,Champions
CUST001309,55,8,56000.0,5,5,5,555,Champions
CUST001310,34,11,68694.81,5,5,5,555,Champions
CUST001311,39,7,45613.63,5,5,5,555,Champions
CUST001312,51,8,51894.6,5,5,5,555,Champions
CUST001313,49,6,40198.05,5,5,5,555,Champions
CUST001314,27,9,60275.05,5,5,5,555,Champions
CUST001315,7,11,72166.25,5,5,5,555,Champions
CUST001316,137,12,76309.8,4,5,5,455,Champions
CUST001317,64,10,58007.65,5,5,5,555,Champions
CUST001318,12,7,40729.86,5,5,5,555,Champions
CUST001319,32,8,56000.0,5,5,5,555,Champions
CUST001320,31,11,78446.68,5,5,5,555,Champions
CUST001321,48,10,65853.09,5,5,5,555,Champions
CUST001322,54,6,40893.07,5,5,5,555,Champions
CUST001323,83,7,47865.0,5,5,5,555,Champions
CUST001324,23,11,72071.02,5,5,5,555,Champions
CUST001325,74,12,67658.12,5,5,5,555,Champions
CUST001326,156,6,44730.759999999995,4,5,5,455,Champions
CUST001327,37,10,59870.03,5,5,5,555,Champions
CUST001328,27,7,47884.04,5,5,5,555,Champions
CUST001329,21,9,65037.69,5,5,5,555,Champions
CUST001330,141,8,58141.729999999996,4,5,5,455,Champions
CUST001331,43,12,75679.6,5,5,5,555,Champions
CUST001332,125,10,70000.0,4,5,5,455,Champions
CUST001333,110,9,53000.0,4,5,5,455,Champions
CUST001334,34,6,38376.45,5,5,5,555,Champions
CUST001335,8,10,70602.26,5,5,5,555,Champions
CUST001336,43,8,60689.04,5,5,5,555,Champions
CUST001337,73,10,65028.25,5,5,5,555,Champions
CUST001338,108,9,65461.479999999996,4,5,5,455,Champions
CUST001339,105,6,40118.51,4,5,5,455,Champions
CUST001340,335,7,44320.520000000004,2,5,5,255,About to Sleep
CUST001341,160,7,52655.81,4,5,5,455,Champions
CUST001342,85,10,68540.91,5,5,5,555,Champions
CUST001343,32,9,65891.14,5,5,5,555,Champions
CUST001344,74,12,90707.92,5,5,5,555,Champions
CUST001345,42,12,86520.28,5,5,5,555,Champions
CUST001346,39,8,48000.0,5,5,5,555,Champions
CUST001347,85,9,56772.58,5,5,5,555,Champions
CUST001348,28,6,39648.229999999996,5,5,5,555,Champions
CUST001349,37,12,74395.5,5,5,5,555,Champions
CUST001350,183,6,40852.82,4,5,5,455,Champions
CUST001351,107,10,71045.41,4,5,5,455,Champions
CUST001352,56,7,39894.16,5,5,5,555,Champions
CUST001353,53,9,57000.0,5,5,5,555,Champions
CUST001354,56,8,51487.39,5,5,5,555,Champions
CUST001355,73,9,61811.04,5,5,5,555,Champions
CUST001356,250,12,75640.17,3,5,5,355,Loyal Customers
CUST001357,96,9,65651.08,5,5,5,555,Champions
CUST001358,110,6,42399.7,4,5,5,455,Champions
CUST001359,12,8,56000.0,5,5,5,555,Champions
CUST001360,51,11,82490.98,5,5,5,555,Champions
CUST001361,31,11,69132.56,5,5,5,555,Champions
CUST001362,44,6,37084.22,5,5,5,555,Champions
CUST001363,107,9,58344.74,4,5,5,455,Champions
CUST001364,47,10,69799.9,5,5,5,555,Champions
CUST001365,18,11,77093.49,5,5,5,555,Champions
CUST001366,27,11,67496.38,5,5,5,555,Champions
CUST001367,58,9,57000.0,5,5,5,555,Champions
CUST001368,52,7,35395.3,5,5,5,555,Champions
CUST001369,45,8,49086.2,5,5,5,555,Champions
CUST001370,88,11,70493.76,5,5,5,555,Champions
CUST001371,150,7,46805.35,4,5,5,455,Champions
CUST001372,32,8,56672.39,5,5,5,555,Champions
CUST001373,51,11,74712.08,5,5,5,555,Champions
CUST001374,42,10,60152.05,5,5,5,555,Champions
CUST001375,73,9,56585.1,5,5,5,555,Champions
CUST001376,128,12,73125.31,4,5,5,455,Champions
CUST001377,24,11,77738.82,5,5,5,555,Champions
CUST001378,112,8,62180.39,4,5,5,455,Champions
CUST001379,85,6,39849.67,5,5,5,555,Champions
CUST001380,74,9,60188.87,5,5,5,555,Champions
CUST001381,21,11,70221.51,5,5,5,555,Champions
CUST001382,43,11,73744.91,5,5,5,555,Champions
CUST001383,13,11,64886.270000000004,5,5,5,555,Champions
CUST001384,90,10,58990.29,5,5,5,555,Champions
CUST001385,44,9,54987.979999999996,5,5,5,555,Champions
CUST001386,74,10,62114.52,5,5,5,555,Champions
CUST001387,24,10,67698.61,5,5,5,555,Champions
CUST001388,45,6,32791.0,5,5,5,555,Champions
CUST001389,66,6,33638.1,5,5,5,555,Champions
CUST001390,73,9,54309.7,5,5,5,555,Champions
CUST001391,36,11,70314.69,5,5,5,555,Champions
CUST001392,35,12,82011.47,5,5,5,555,Champions
CUST001393,71,12,83594.05,5,5,5,555,Champions
CUST001394,59,7,43000.0,5,5,5,555,Champions
CUST001395,44,9,61389.07,5,5,5,555,Champions
CUST001396,116,7,42965.69,4,5,5,455,Champions
CUST001397,72,12,79195.4,5,5,5,555,Champions
CUST001398,33,7,47578.399999999994,5,5,5,555,Champions
CUST001399,88,11,73239.61,5,5,5,555,Champions
CUST001400,117,7,53109.95,4,5,5,455,Champions
CUST001401,37,10,62447.15,5,5,5,555,Champions
CUST001402,142,11,80426.68,4,5,5,455,Champions
CUST001403,58,10,60204.21,5,5,5,555,Champions
CUST001404,16,9,63808.369999999995,5,5,5,555,Champions
CUST001405,62,8,55534.009999999995,5,5,5,555,Champions
CUST001406,35,12,88475.42,5,5,5,555,Champions
CUST001407,148,7,49344.32,4,5,5,455,Champions
CUST001408,58,10,73717.63,5,5,5,555,Champions
CUST001409,8,11,68867.2,5,5,5,555,Champions
CUST001410,127,8,42764.08,4,5,5,455,Champions
CUST001411,92,12,71459.59,5,5,5,555,Champions
CUST001412,100,7,53427.53,5,5,5,555,Champions
CUST001413,332,11,70865.09,2,5,5,255,About to Sleep
CUST001414,40,10,71784.8,5,5,5,555,Champions
CUST001415,329,9,57713.33,2,5,5,255,About to Sleep
CUST001416,95,10,70842.31,5,5,5,555,Champions
CUST001417,12,7,48502.770000000004,5,5,5,555,Champions
CUST001418,93,7,49008.24,5,5,5,555,Champions
CUST001419,66,7,48185.3,5,5,5,555,Champions
CUST001420,110,10,59037.66,4,5,5,455,Champions
CUST001421,69,11,69451.56,5,5,5,555,Champions
CUST001422,40,7,44236.32,5,5,5,555,Champions
CUST001423,49,6,34973.5,5,5,5,555,Champions
CUST001424,9,9,54817.26,5,5,5,555,Champions
CUST001425,101,7,40369.0,5,5,5,555,Champions
CUST001426,13,9,61000.0,5,5,5,555,Champions
CUST001427,40,10,67920.64,5,5,5,555,Champions
CUST001428,77,12,80796.53,5,5,5,555,Champions
CUST001429,176,10,54033.81,4,5,5,455,Champions
CUST001430,60,8,47864.76,5,5,5,555,Champions
CUST001431,192,7,47178.79,4,5,5,455,Champions
CUST001432,24,12,77174.89,5,5,5,555,Champions
CUST001433,166,9,50642.29,4,5,5,455,Champions
CUST001434,249,12,74874.36,3,5,5,355,Loyal Customers
CUST001435,63,6,38381.74,5,5,5,555,Champions
CUST001436,139,6,46793.24,4,5,5,455,Champions
CUST001437,61,12,76806.73,5,5,5,555,Champions
CUST001438,15,12,80589.5,5,5,5,555,Champions
CUST001439,37,12,78897.67,5,5,5,555,Champions
CUST001440,151,12,78477.94,4,5,5,455,Champions
CUST001441,25,11,65235.59,5,5,5,555,Champions
CUST001442,95,10,80156.09,5,5,5,555,Champions
CUST001443,29,11,66672.58,5,5,5,555,Champions
CUST001444,153,7,45871.270000000004,4,5,5,455,Champions
CUST001445,78,11,76264.29000000001,5,5,5,555,Champions
CUST001446,106,9,55943.75,4,5,5,455,Champions
CUST001447,46,8,44867.22,5,5,5,555,Champions
CUST001448,125,9,63240.45,4,5,5,455,Champions
CUST001449,174,8,53413.94,4,5,5,455,Champions
CUST001450,50,6,34000.0,5,5,5,555,Champions
CUST001451,50,10,71388.55,5,5,5,555,Champions
CUST001452,23,8,49365.52,5,5,5,555,Champions
CUST001453,71,8,52661.71,5,5,5,555,Champions
CUST001454,15,10,74196.55,5,5,5,555,Champions
CUST001455,54,8,53668.33,5,5,5,555,Champions
CUST001456,24,8,58592.55,5,5,5,555,Champions
CUST001457,98,10,65971.32,5,5,5,555,Champions
CUST001458,119,8,43876.520000000004,4,5,5,455,Champions
CUST001459,128,9,56771.520000000004,4,5,5,455,Champions
CUST001460,34,10,61220.36,5,5,5,555,Champions
CUST001461,231,7,48226.28,3,5,5,355,Loyal Customers
CUST001462,108,9,61212.39,4,5,5,455,Champions
CUST001463,164,9,67207.64,4,5,5,455,Champions
CUST001464,33,9,59140.94,5,5,5,555,Champions
CUST001465,32,6,39785.020000000004,5,5,5,555,Champions
CUST001466,36,12,84556.44,5,5,5,555,Champions
CUST001467,160,11,72658.94,4,5,5,455,Champions
CUST001468,47,6,34000.0,5,5,5,555,Champions
CUST001469,24,8,59697.99,5,5,5,555,Champions
CUST001470,173,6,39682.46,4,5,5,455,Champions
CUST001471,398,7,46914.4,2,5,5,255,About to Sleep
CUST001472,86,9,64738.03,5,5,5,555,Champions
CUST001473,116,6,36731.72,4,5,5,455,Champions
CUST001474,276,11,70650.91,3,5,5,355,Loyal Customers
CUST001475,74,7,45565.44,5,5,5,555,Champions
CUST001476,17,12,74885.76,5,5,5,555,Champions
CUST001477,138,6,34000.0,4,5,5,455,Champions
CUST001478,77,6,38501.880000000005,5,5,5,555,Champions
CUST001479,59,6,36534.11,5,5,5,555,Champions
CUST001480,85,6,42577.8,5,5,5,555,Champions
CUST001481,73,9,57686.729999999996,5,5,5,555,Champions
CUST001482,130,10,60693.270000000004,4,5,5,455,Champions
CUST001483,31,7,48243.93,5,5,5,555,Champions
CUST001484,12,11,71514.3,5,5,5,555,Champions
CUST001485,48,9,57514.08,5,5,5,555,Champions
CUST001486,54,7,49555.89,5,5,5,555,Champions
CUST001487,205,6,37960.92,3,5,5,355,Loyal Customers
CUST001488,19,12,90031.45999999999,5,5,5,555,Champions
CUST001489,38,9,58774.39,5,5,5,555,Champions
CUST001490,45,10,69224.70999999999,5,5,5,555,Champions
CUST001491,57,8,46414.35,5,5,5,555,Champions
CUST001492,10,10,60167.22,5,5,5,555,Champions
CUST001493,39,12,89108.38,5,5,5,555,Champions
CUST001494,40,6,40403.380000000005,5,5,5,555,Champions
CUST001495,150,8,48000.0,4,5,5,455,Champions
CUST001496,31,12,81096.3,5,5,5,555,Champions
CUST001497,40,10,60446.64,5,5,5,555,Champions
CUST001498,21,8,51609.44,5,5,5,555,Champions
CUST001499,231,8,48000.0,3,5,5,355,Loyal Customers
CUST001500,31,12,75382.27,5,5,5,555,Champions
CUST001501,49,12,74266.8,5,5,5,555,Champions
CUST001502,166,9,62951.46,4,5,5,455,Champions
CUST001503,170,9,59875.7,4,5,5,455,Champions
CUST001504,67,10,62442.369999999995,5,5,5,555,Champions
CUST001505,30,9,52025.1,5,5,5,555,Champions
